tunnus,nimi,isin,id_notation,aum,kulut,toteutus,osinko
21BC,21Shares Bitcoin Core ETP,CH1199067674,387614540,"446,11 M$","0,10 %",Arvopaperi,
2BTC,21Shares Bitcoin ETP,CH0454664001,299408016,"621,53 M$","1,50 %",Arvopaperi,
ADAA,21Shares Cardano ADA ETP,CH1102728750,352198909,"30,55 M$","2,50 %",Arvopaperi,
21XH,21Shares Crypto Basket Index ETP,CH0445689208,352197853,"153,09 M$","2,50 %",Arvopaperi,
ADOT,21Shares Polkadot ETP,CH0593331561,352198907,"9,19 M$","2,50 %",Arvopaperi,
21XP,21Shares Ripple XRP ETP,CH0454664043,374966232,"339,56 M$","2,50 %",Johdannainen,
JMLP,Alerian Midstream Energy Dividend UCITS ETF,IE00BKPTXQ89,302771322,"69,95 M$","0,40 %",Arvopaperi,Neljännesvuosittain
AVWS,American Century ICAV - Avantis Global Small Cap Value UCITS ETF AccumUSD,IE0003R87OG3,478063247,"910,57 M","0,39 %",Arvopaperi,
LYPU,Amundi Australia S&P/ASX 200 UCITS ETF Dist,LU0496786905,35505908,"132,91 M€","0,40 %",Johdannainen,Vuosittain
LYTR,Amundi Bloomberg Equal-weight Commodity ex-Agriculture UCITS ETF Shs -Acc- Capitalisation,LU1829218749,15339015,"1 604,81 M€","0,35 %",Johdannainen,
WEBH,Amundi Core MSCI USA UCITS ETF Accum USD,IE000FSN19U2,453136488,"3 558,96 M$","0,03 %",Arvopaperi,
MWRE,Amundi Core MSCI World UCITS ETF Accum USD,IE000BI8OT95,455633778,"15 259,4 M$","0,14 %",Arvopaperi,
LYPS,Amundi Core S&P 500 Swap UCITS ETF EUR Dist,LU0496786574,35505906,"2 827,78 M€","0,05 %",Johdannainen,Vuosittain
LYP6,Amundi Core Stoxx Europe 600 -UCITS ETF Acc- Capitalisation,LU0908500753,197447690,"17 814,3 M€","0,07 %",Arvopaperi,
LYY7,Amundi DAX II UCITS ETF Acc,LU0252633754,15072403,"1 228,13 M€","0,15 %",Arvopaperi,
DJAM,Amundi Dow Jones Industrial Average UCITS ETF FCP Parts -Dist-,FR0007056841,15072815,"326,86 M€","0,50 %",Johdannainen,Vuosittain
WELJ,Amundi ETF ICAV - Amundi S&P Global Consumer Discretionary ESG UCITS ETF Accum-DR- EUR,IE000NM0ALX6,396878052,"249,87 M€","0,25 %",Arvopaperi,
WELH,Amundi ETF ICAV - Amundi S&P World Industrials Screened UCITS ETF Accum DR EUR,,396878050,"861,67 M€","0,18 %",Arvopaperi,
WELI,Amundi ETF ICAV - Amundi S&P World Materials Screened UCITS ETF Accum Shs -DR- EUR,,396878017,"644,63 M€","0,18 %",Arvopaperi,
AMEQ,AMUNDI ETF MSCI EUROPE QUALITY FACTOR UCITS ETF,LU1681041890,213389826,"247,59 M€","0,23 %",Johdannainen,
LYXC,Amundi Euro Government Bond 5-7Y UCITS ETF Acc,LU1287023003,166443489,"666,49 M€","0,17 %",Arvopaperi,
LYXD,Amundi Euro Government Bond 7-10Y UCITS ETF Acc,LU1287023185,166443490,"1 480,68 M€","0,16 %",Arvopaperi,
LYXF,Amundi Euro Government Bond 15+Y UCITS ETF Acc,LU1287023268,166443491,"207,28 M€","0,17 %",Arvopaperi,
LYXA,Amundi Euro Highest Rated Macro-Weighted Government Bond UCITS ETF Acc,LU1287023342,166443492,"265,8 M€","0,17 %",Arvopaperi,
EUIN,Amundi Euro Inflation Expectations 2-10Y UCITS ETF,LU1390062245,174899260,"270,23 M€","0,25 %",Johdannainen,
LSK8,Amundi EURO STOXX 50 Daily (-2X) Inverse UCITS ETF Act -Acc-,FR0010424143,24019584,"24,5 M€","0,60 %",Johdannainen,
LYSX,Amundi EURO STOXX 50 II UCITS ETF Act -Acc-,FR0007054358,6457203,"4 110,06 M€","0,20 %",Arvopaperi,
L8I3,Amundi EUR Overnight Return UCITS ETF -Acc-,FR0010510800,21966272,"2 951,67 M€","0,10 %",Johdannainen,
10AJ,Amundi FTSE EPRA NAREIT Global -UCITS ETF DR- Distribution,LU1737652823,209148670,"57,84 M€","0,31 %",Arvopaperi,Vuosittain
LYQK,Amundi German Bund Daily (-2x) Inverse UCITS ETF -Acc-,FR0010869578,37034764,"22,64 M€","0,20 %",Johdannainen,
WDNR,Amundi Global Bioenergy -UCITS ETF EUR Acc- Capitalisation,LU1681046006,208710781,"52,25 M€","0,45 %",Johdannainen,
LGQI,Amundi Global Equity Quality Income UCITS ETF DIST,LU0832436512,74284604,"142,74 M€","0,45 %",Johdannainen,Vuosittain
V50A,Amundi Index Solutions - Euro STOXX 50 DR UCITS ETF,LU1681047236,210075445,"3 703,08 M€","0,15 %",Arvopaperi,
AMEI,Amundi Index Solutions - MSCI EM SRI Climate Paris Aligned,LU1861138961,250892507,"1 991,03 M$","0,42 %",Arvopaperi,
AMEC,Amundi Index Solutions - MSCI Smart Cities,LU2037748345,275590777,"71,84 M€","0,53 %",Arvopaperi,
PRAJ,Amundi Index Solutions - Prime Japan,LU2089238385,280572791,"91 277,6 MJPY","0,08 %",Arvopaperi,
GLUX,Amundi Index Solutions - S&P Global Luxury,LU1681048630,208710775,"348,94 M€","0,25 %",Johdannainen,
,Amundi Index Solutions - SDAX UCITS ETF,LU2611732475,442685973,"166,76 M€","0,70 %",Arvopaperi,Vuosittain
JPNH,Amundi Japan TOPIX II UCITS ETF -Daily Hedged to EUR - Dist-,FR0011475078,89881321,"91,88 MJPY","0,45 %",Arvopaperi,Vuosittain
LYY4,Amundi Japan TOPIX II UCITS ETF -Dist EUR-,FR0010245514,15338964,"361,36 MJPY","0,45 %",Arvopaperi,Vuosittain
LASP,Amundi MSCI AC Asia Pacific Ex Japan ETF -Acc- Capitalisation,LU1900068328,247230573,"741,65 M€","0,60 %",Johdannainen,
DRUP,Amundi MSCI Disruptive Technology UCITS ETF Acc,LU2023678282,292671840,"164,34 M$","0,45 %",Arvopaperi,
LEER,Amundi MSCI Eastern Europe Ex Russia ETF -Acc- Capitalisation,LU1900066462,249191821,550 M€,"0,50 %",Johdannainen,
LCUA,Amundi MSCI EM Asia ESG Broad Transition UCITS ETF Acc Shs Capitalisation,LU1781541849,213814361,"722,48 M$","0,25 %",Arvopaperi,
EMXC,Amundi MSCI Emerging Ex China ETF Acc Capitalisation,LU2009202107,261324526,"5 074,46 M$","0,15 %",Johdannainen,
SADM,Amundi MSCI Emerging Markets ESG Selection UCITS ETF DR (C),LU2109787551,299141664,"1 367,13 M$","0,34 %",Arvopaperi,
AMEM,Amundi MSCI Emerging Markets Swap -UCITS ETF EUR C- Capitalisation,LU1681045370,215572438,"3 928,23 M€","0,20 %",Johdannainen,
LYM7,Amundi MSCI Emerging Markets Swap II UCITS ETF Act -Acc (EUR)-,FR0010429068,19023957,"943,42 M€","0,55 %",Johdannainen,
LGQG,Amundi MSCI EMU ESG Broad Transition -UCITS ETF Acc- Capitalisation,LU0908501058,197447692,"1 160,68 M€","0,12 %",Arvopaperi,
LGWU,Amundi MSCI EMU Small Cap ESG Broad Transition UCITS ETF DIST,LU1598689153,197248311,"377,24 M€","0,40 %",Arvopaperi,Vuosittain
SRHE,Amundi MSCI EMU SRI Climate Paris Aligned UCITS ETF DR (C),LU2109787635,295521428,"107,75 M€","0,18 %",Arvopaperi,
LGWS,Amundi MSCI EMU Value Factor - UCITS ETF Dist,LU1598690169,197248313,"237,48 M€","0,40 %",Arvopaperi,Vuosittain
AE5B,Amundi MSCI Europe Action -UCITS ETF- Distribution,LU2608817958,423678180,"2 463,65 M€","0,09 %",Arvopaperi,Vuosittain
EHF1,Amundi MSCI Europe High Dividend Factor,LU1681041973,208710779,"457,12 M€","0,23 %",Johdannainen,
LYY5,Amundi MSCI Europe UCITS ETF Act -Acc-,FR0010261198,14924651,"576,41 M€","0,25 %",Arvopaperi,
XMGA,Amundi MSCI Ex USA Mega Cap UCITS ETF AccumUSD,IE000XL4IXU1,484803080,"42,96 M$","0,15 %",Arvopaperi,
LYMH,Amundi MSCI Greece UCITS ETF -Dist-,FR0010405431,17308598,"410,88 M€","0,45 %",Johdannainen,Vuosittain
LYMD,Amundi MSCI India Swap UCITS ETF EUR Acc (EUR)-,FR0010361683,16621012,"817,72 M€","0,85 %",Johdannainen,
GENY,Amundi MSCI Millennials UCITS ETF Acc,LU2023678449,292671845,"23,7 M$","0,45 %",Arvopaperi,
GOAI,Amundi MSCI Robotics & AI -UCITS ETF Acc- Capitalisation,LU1861132840,233782888,"1 041,67 M€","0,50 %",Arvopaperi,
LTUR,Amundi MSCI Turkey ETF Acc- Capitalisation,LU1900067601,249191827,"91,22 M€","0,45 %",Johdannainen,
MEGA,Amundi MSCI USA Mega Cap UCITS ETF AccumUSD,IE000YBGJ9I4,484803079,"12,73 M$","0,15 %",Arvopaperi,
LYM8,Amundi MSCI Water UCITS ETF Parts Dist,FR0010527275,20764506,"1 537,5 M€","0,65 %",Arvopaperi,Vuosittain
LWCR,Amundi MSCI World ESG Broad Transition UCITS ETF Accum EUR,IE0001GSQ2O9,442204558,"1 118,25 M$","0,23 %",Arvopaperi,
LYPD,Amundi MSCI World Financials UCITS ETF EUR ACC,LU0533032859,39196819,"108,75 M€","0,30 %",Johdannainen,
LYPE,Amundi MSCI World Health Care UCITS ETF EUR ACC,LU0533033238,39196820,"673,63 M€","0,30 %",Johdannainen,
XAMB,Amundi MSCI World SRI Climate Paris Aligned UCITS ETF Accum EUR,IE000Y77LGG9,447137014,"3 214,28 M$","0,18 %",Arvopaperi,
LYYA,Amundi MSCI World Swap II UCITS ETF Act -Dist-,FR0010315770,15526694,"8 081,93 M€","0,30 %",Johdannainen,Vuosittain
WEBN,Amundi Prime All Country World UCITS ETF Accum- USD,IE0003XJA0J9,466666487,"1 718,51 M$","0,07 %",Arvopaperi,
WEBG,Amundi Prime All Country World UCITS ETF USD,IE0009HF1MK9,450330661,"4 436,68 M$","0,07 %",Arvopaperi,Vuosittain
F50A,Amundi Prime Global UCITS ETF Acc,IE0009DRDY20,484336443,"1 953,76 M","0,05 %",Arvopaperi,
VOOL,Amundi S&P 500 VIX Futures Enhanced Roll UCITS ETF ACC,LU0832435464,74284602,,,Johdannainen,
WELX,Amundi S&P World Communication Services Screened UCITS ETF Accum -DR- EUR,IE000EFHIFG3,396878041,"512,99 M€","0,18 %",Arvopaperi,
WELW,Amundi S&P World Consumer Staples Screened UCITS ETF Accum Shs -DR- EUR,,396878030,"161,58 M€","0,38 %",Arvopaperi,
WELN,Amundi S&P World Energy Screened UCITS ETF Accum -DR- EUR,IE000J0LN0R5,396878045,"250,98 M€","0,18 %",Arvopaperi,
LYQL,Amundi ShortDAX Daily (-2x) Inverse UCITS ETF,FR0010869495,37034762,"23,76 M€","0,60 %",Johdannainen,
LBNK,Amundi STOXX Europe 600 Banks UCITS ETF -Acc- Capitalisation,LU1834983477,242978046,"2 528,26 M€","0,30 %",Johdannainen,
LOGS,Amundi STOXX Europe 600 Energy Screened Acc Capitalisation,LU1834988278,242978054,"223,93 M€","0,30 %",Arvopaperi,
LHTC,Amundi STOXX Europe 600 Healthcare UCITS ETF -Acc- Capitalisation,LU1834986900,242978052,"870,97 M€","0,30 %",Johdannainen,
UCRP,Amundi USD Corporate Bond ESG ETF UCITS DR Capitalisation,LU1806495575,252174414,"599,61 M$","0,16 %",Arvopaperi,
UINF,Amundi US Inflation Expectations 10Y ETF,LU1390062831,174899258,"185,07 M$","0,25 %",Johdannainen,
WEBA,Amundi US Tech 100 Equal Weight UCITS ETF,IE000Y9MG996,402406638,"40,02 M$","0,07 %",Arvopaperi,Vuosittain
TIUP,Amundi US TIPS Government Inflation-Linked Bond UCITS ETF,LU1452600270,174899266,"528,51 M$","0,09 %",Arvopaperi,Vuosittain
PR1H,Amundi US Treasury Bond 0-1 Y -ETF DRH- Capitalisation,LU2182388749,302513270,"57,49 M$","0,07 %",Arvopaperi,
7USH,Amundi US Treasury Bond 7-10Y UCITS ETF,,422332811,"582,01 M$","0,07 %",Arvopaperi,
DJAD,Amundi US Treasury Bond Long Dated UCITS ETF,LU1407890620,235580608,"227,03 M$","0,06 %",Arvopaperi,Vuosittain
AAKI,ARK Artificial Intelligence & Robotics UCITS ETF AccumUSD,IE0003A512E4,458465033,"333,22 M$","0,79 %",Arvopaperi,
AAKG,Ark Genomic Revolution Ucits ETF AccumUSD,IE000O5M6XO1,458465034,45 M$,"0,79 %",Johdannainen,
ARXK,ARK Innovation UCITS ETF Accum Shs USD,IE000GA3D489,458465031,"260,99 M$","0,78 %",Arvopaperi,
ARXX,ARK Space & Defence Innovation UCITS ETF AccumUSD,IE000AON7ET1,530464029,"19,77 M$","0,79 %",Arvopaperi,
BITCOIN XBTE,Bitcoin Tracker Euro,SE0007525332,143900320,"623,18 M€","2,50 %",Johdannainen,
ELTC,Bitwise Physical Litecoin ETP,DE000A3GN5J9,328602612,"5,24 M$","2,00 %",Arvopaperi,Vuosittain
EESM,BNP MSCI Europe Small Caps SRI S-Series PAB 5% Capped,LU1291101555,170544051,"233,91 M€","0,25 %",Johdannainen,
EEUX,BNP PARIBAS EASY - MSCI Europe Min TE Ucits ETF Capitalisation,LU1291099718,170544054,,,Johdannainen,
ENOA,BNP Paribas Easy - MSCI North America ESG Filtered Min TE Fund,LU1291104575,170544038,,,Johdannainen,
EWRD,BNP PARIBAS EASY - MSCI World SRI PAB UCITS ETF Capitalisation,LU1291108642,170544049,"54,84 M$","0,29 %",Johdannainen,
EMKX,BNP Paribas Easy MSCI Emerging Min TE,LU1291097779,170544048,,,Johdannainen,
EGRE,BNP Paribas Easy SICAV - Growth Europe -UCITS ETF- EUR Capitalisation,LU2244387887,342476855,,,Arvopaperi,
EJAP,BNP Paribas Easy SICAV - MSCI Japan Min TE UCITS ETF- Capitalisation,LU1291102447,170544040,"1 628,1 M€","0,17 %",Arvopaperi,
EMEC,ECPI Circular Economy Leaders -UCITS ETF- Capitalisation,LU1953136527,256903813,,,Arvopaperi,
ETHEREUM XBTE,Ether Tracker Euro,SE0010296582,199912783,"270,25 M€","2,50 %",Johdannainen,
SKYE,First Trust Cloud Computing UCITS ETF Accum -A- USD,IE00BFD2H405,528425736,"347,65 M$","0,63 %",Arvopaperi,
QCLN,First Trust Nasdaq Clean Edge Green Energy UCITS ETF,IE00BDBRT036,323914086,"24,24 M$","0,60 %",Arvopaperi,
GRID,First Trust Nasdaq Clean Edge Smart Grid Infrastructure UCITS ETF Accum A USD,IE000J80JTL1,376859102,"2 119,76 M$","0,70 %",Johdannainen,
CBRS,First Trust Nasdaq Cybersecurity UCITS ETF,IE00BF16M727,308957397,"1 156,51 M$","0,60 %",Arvopaperi,
,First Trust Smid Rising Dividend Achievers Ucits ETF Accum A USD,IE0001R850E1,461468783,"363,74 M$","0,60 %",Arvopaperi,
FLXD,Franklin European Quality Dividend UCITS ETF,IE00BF2B0L69,197150651,,"0,34 %",Arvopaperi,Neljännesvuosittain
FOHW,Franklin Future Of Health And Wellness Ucits ETF AccumUSD,IE0003WEWAX4,426017762,,"0,30 %",Arvopaperi,
FLXX,Franklin Global Quality Dividend UCITS ETF,IE00BF2B0M76,197150649,,"0,30 %",Arvopaperi,Neljännesvuosittain
FLXK,Franklin LibertyShares ICAV - Franklin FTSE Korea UCITS ETF,IE00BHZRR030,257238140,,"0,09 %",Arvopaperi,
FLXI,Franklin LibertyShares ICAV - FTSE India UCITS ETF,IE00BHZRQZ17,259832624,,"0,19 %",Arvopaperi,
FLXP,Franklin LibertyShares ICAV - STX Eur600 Paris Al. Cl. UCITS,IE00BMDPBY65,302148541,,"0,15 %",Arvopaperi,
FLXE,Franklin Templeton ICAV - Franklin EM Multi-Factor Equity UCITS ETF Accum Shs USD,IE00BF2B0K52,200414215,,"0,45 %",Arvopaperi,
ASWC,Future of Defence UCITS ETF Accum USD,IE000OJ5TQP4,425785856,"3 038,99 M$","0,49 %",Arvopaperi,
JPGL,Global Equity Multi-Factor UCITS ETF Unhedged USD,IE00BJRCLL96,261806909,"253,87 M$","0,22 %",Arvopaperi,
JGPI,Global Equity Premium Income Active UCITS ETF Unhedged USD,IE0003UVYC20,442523146,"1 421,52 M$","0,35 %",Arvopaperi,Kuukausittain
QAIU,GLOBAL X Artificial Intelligence UCITS ETF AccumUSD,IE0000XTDDA8,475934627,"54,6 M$","0,40 %",Arvopaperi,
4COP,Global X Copper Miners UCITS ETF AccumUSD,IE0003Z9E2Y3,358779436,"1 050,78 M$","0,90 %",Arvopaperi,
V9N,Global X Data Center REITs & Digital Infrastructure UCITS ETF Accum USD,IE00BMH5Y327,360552682,"308,66 M$","0,70 %",Arvopaperi,
4MMR,Global X Defence Tech UCITS ETF,IE000JCW3DZ3,475934626,"630,28 M$","0,60 %",Arvopaperi,
B41J,Global X European Infrastructure Development UCITS ETF Accum Shs EUR,IE000PS0J481,475132097,"545,47 M€","0,47 %",Arvopaperi,
ED3F,Global X Europe Focused Defence Tech UCITS ETF AccumEUR,IE000WRQ9RR1,508082311,"19,34 M€","0,50 %",Arvopaperi,
LI7U,Global X Lithium & Battery Tech UCITS ETF,IE00BLCHJN13,360552683,"146,4 M$","0,80 %",Arvopaperi,
QYLE,Global X Nasdaq 100 Covered Call UCITS ETF USD,IE00BM8R0J59,401653447,"701,85 M$","0,45 %",Johdannainen,Kuukausittain
XB0T,Global X Robotics & Artificial Intelligence UCITS ETF,IE00BLCHJB90,358087849,"118,63 M$","0,70 %",Arvopaperi,
SLVR,Global X Silver Miners UCITS ETF AccumUSD,IE000UL6CLP7,378526520,"1 461,46 M$","0,65 %",Arvopaperi,
UDIV,Global X Superdividend UCITS ETF USD,IE00077FRP95,368311069,867 M$,"0,60 %",Arvopaperi,Kuukausittain
DDOC,Global X Telemedicine & Digital Health UCITS ETF Accum Shs USD,IE00BLR6QB00,322244804,"5,14 M$","1,20 %",Arvopaperi,
94VE,Global X U.S. Infrastructure Development UCITS ETF AccumUSD,IE00BLCHJ534,357376850,"662,26 M$","0,47 %",Arvopaperi,
URNU,Global X Uranium UCITS ETF AccumUSD,IE000NDWFGA5,376859104,"764,41 M$","0,65 %",Arvopaperi,
H3R0,Global X Video Games & Esports UCITS ETF Accum Shs USD,IE00BLR6Q544,322244805,"5,14 M$","1,00 %",Arvopaperi,
WNDY,Global X Wind Energy UCITS ETF,IE000JNHCBM6,367484967,"9,29 M$","0,90 %",Arvopaperi,
ECLM,Guinness Sustainable Energy UCITS ETF,IE00BNC1F287,316570820,"18,44 M$","0,65 %",Arvopaperi,
T3KE,HAN-GINS Tech Megatrend Equal Weight UCITS ETF USD,IE00BDDRF700,528425733,"97,34 M$","0,63 %",Arvopaperi,
EMQQ,Hanetf ICAV - EMQQ EM Internet & Ecommerce UCITS ETF,IE00BFYN8Y92,528425734,"111,44 M$","0,86 %",Arvopaperi,
8RMY,HANetf ICAV - Future of European Defence Screened UCITS ETF AccumEUR,IE000I7E6HL0,528426378,"174,24 M€","0,44 %",Arvopaperi,
,HANetf ICAV - Goshawk Global Balanced UCITS ETF Accum ETF USD,IE00BL643144,309942076,"22,42 M$","0,69 %",Arvopaperi,
ASWF,HANetf ICAV - Middlefield Canadian Enhanced Income UCITS ETF CAD,IE000P1G9TM6,529717084,"118,84 MCAD","1,27 %",Arvopaperi,Neljännesvuosittain
UKRN,HANetf ICAV - Ukraine Reconstruction UCITS ETF AccumETF EUR,IE000R8PO127,549918267,"6,46 M€","0,68 %",Arvopaperi,
7RIP,Hanetf ICAV - US Global Investors Travel UCITS ETF Accum USD,IE00BMFNW783,528425753,"16,29 M$","0,69 %",Arvopaperi,
DRON,HANETF II ICAV - Drone UCITS ETF USD,IE0003XW12I8,548918399,"20,67 M$","0,82 %",Arvopaperi,
W311,Harbor Health Care UCITS ETF Accum Shs -A- USD,IE00BJQTJ848,302546794,"14,45 M$","0,59 %",Arvopaperi,
H41D,HSBC ETFs PLC - HSBC MSCI World Value Screened UCITS ETF AccumUSD,IE000LYBU7X5,398427010,"290,81 M$","0,27 %",Arvopaperi,
H4ZX,HSBC Hang Seng Tech UCITS ETF,IE00BMWXKN31,316678580,"12 746,9 MHKD","0,50 %",Arvopaperi,
INQQ,INQQ India Internet UCITS ETF Accum USD,IE000WYTQSF9,440312848,"9,3 M$","0,86 %",Arvopaperi,
BNXG,Invesco CoinShares Global Blockchain UCITS ETF Accum Shs USD,IE00BGBN6P67,249179761,"1 019,36 M$","0,65 %",Arvopaperi,
IVDF,Invesco Defence Innovation UCITS ETF AccumUSD,IE000BRM9046,481664099,"139,49 M$","0,39 %",Arvopaperi,
EQQQ,Invesco EQQQ Nasdaq-100 UCITS ETF Dist,IE0032077012,6486559,11 507 M$,"0,30 %",Arvopaperi,Neljännesvuosittain
EQEU,Invesco EQQQ Nasdaq-100 UCITS ETF EUR Hdg Acc,IE00BYVTMS52,200733902,"529,87 M$","0,35 %",Arvopaperi,
PJEU,Invesco Euro Cash 3 Months UCITS ETF,IE00B3BPCH51,25494619,"242,74 M€","0,15 %",Arvopaperi,
EHBA,Invesco Euro Corporate Hybrid Bond UCITS ETF AccumEUR,IE00BKWD3B81,307622099,"210,94 M€","0,39 %",Arvopaperi,
EHBD,Invesco Euro Corporate Hybrid Bond UCITS ETF EUR,IE00BKWD3966,307622098,"149,32 M€","0,39 %",Arvopaperi,Neljännesvuosittain
SC0D,Invesco EURO STOXX 50 UCITS ETF,IE00B60SWX25,28120645,"1 127,97 M€","0,05 %",Johdannainen,
S6X0,Invesco EURO STOXX 50 UCITS ETF,IE00B5B5TG76,32144331,"61,57 M€","0,05 %",Johdannainen,Puolivuosittain
S7XE,Invesco EURO STOXX Optimised Banks UCITS ETF,IE00B3Q19T94,45271945,"144,91 M€","0,30 %",Johdannainen,
BBCK,Invesco Global Buyback Achievers UCITS ETF,IE00BLSNMW37,118313301,"156,95 M$","0,39 %",Arvopaperi,Neljännesvuosittain
G1CE,Invesco Global Clean Energy UCITS ETF AccumUSD,IE00BLRB0242,325689798,"120,97 M$","0,60 %",Arvopaperi,
NS4E,Invesco JPX-Nikkei 400 UCITS ETF,IE00BVGC6645,127140123,"11,92 MJPY","0,19 %",Johdannainen,
KFTK,Invesco KBW NASDAQ Fintech UCITS ETF,IE00BYMS5W68,271022742,"60,58 M$","0,49 %",Johdannainen,
EHDV,Invesco Markets III Plc - EURO STOXX High Div. Low Vol.,IE00BZ4BMM98,152324327,"476,58 M€","0,30 %",Arvopaperi,Neljännesvuosittain
EHDL,Invesco Markets III Plc - FTSE EM High Div. Low Vol.,IE00BYYXBF44,163423933,"345,41 M$","0,49 %",Arvopaperi,Neljännesvuosittain
PSWD,Invesco Markets III PLC - Invesco RAFI All-World Fundamental Value UCITS ETF,IE00B23LNQ02,112179064,"224,22 M$","0,39 %",Arvopaperi,Neljännesvuosittain
6PSK,Invesco Markets III PLC - Invesco RAFI Emerging Markets Fundamental Value UCITS ETF USD,IE00B23D9570,20080132,"92,89 M$","0,49 %",Arvopaperi,Neljännesvuosittain
6PSC,Invesco Markets III PLC - Invesco RAFI Europe Fundamental Value UCITS ETF EUR,IE00B23D8X81,20080125,"29,85 M€","0,39 %",Arvopaperi,Neljännesvuosittain
6PSA,Invesco Markets III PLC - Invesco RAFI US Fundamental Value UCITS ETF USD,IE00B23D8S39,20063085,"771,19 M$","0,39 %",Arvopaperi,Neljännesvuosittain
SC04,Invesco Markets Plc - STOXX Europe 600 Optimised Per.,IE00B5MTZ595,29944221,"4,58 M€","0,20 %",Johdannainen,
DEAM,Invesco MDAX UCITS ETF,IE00BHJYDV33,246150820,"737,84 M€","0,19 %",Arvopaperi,
ICFP,Invesco Mkts. II Plc - MSCI Eur. Ldrs.Cath.Prin.UCITS ETF,IE00BG0NY640,244144432,"31,13 M€","0,30 %",Arvopaperi,Neljännesvuosittain
SMLP,Invesco Morningstar US Energy Infrastructure MLP UCITS ETF,IE00B94ZB998,256903786,"73,85 M$","0,50 %",Johdannainen,
SMLD,Invesco Morningstar US Energy Infrastructure MLP UCITS ETF,IE00B8CJW150,256903788,"288,08 M$","0,50 %",Johdannainen,Neljännesvuosittain
ICNT,Invesco MSCI China Technology All Shares Stock Connect UCITS ETF AccumUSD,IE00BM8QS095,342118850,"150,49 M$","0,49 %",Arvopaperi,
SC0E,Invesco MSCI Europe UCITS ETF,IE00B60SWY32,28120646,"62,69 M€","0,19 %",Johdannainen,
SC0I,Invesco MSCI Japan UCITS ETF,IE00B60SX287,28120650,"10,36 M$","0,19 %",Johdannainen,
SC0H,Invesco MSCI USA UCITS ETF Acc,IE00B60SX170,28120649,"8 193,65 M$","0,05 %",Johdannainen,
MWEQ,Invesco MSCI World Equal Weight UCITS ETF Acc AccumUSD,IE000OEF25S1,477596097,"1 409,36 M$","0,20 %",Arvopaperi,
SC0J,Invesco MSCI World UCITS ETF,IE00B60SX394,28120651,"7 283,08 M$","0,05 %",Johdannainen,
EWQA,Invesco NASDAQ-100 Equal Weight UCITS ETF AccumUSD,IE000L2SA8K5,426672616,"91,25 M$","0,20 %",Arvopaperi,
NBTK,Invesco NASDAQ Biotech UCITS ETF,IE00BQ70R696,271183960,"397,35 M$","0,40 %",Johdannainen,
EQQJ,Invesco NASDAQ Next Generation 100 UCITS ETF AccumGBP,IE00BMD8KP97,328137182,"40,83 M$","0,26 %",Arvopaperi,
8PSG,Invesco Physical Gold ETC,IE00B579F325,284362040,,"0,12 %",Arvopaperi,
8PSB,Invesco Physical Silver ETC,IE00B43VDT70,342990107,,"0,19 %",Arvopaperi,
SC0K,Invesco Russell 2000 UCITS ETF,IE00B60SX402,28120652,"307,48 M$","0,45 %",Johdannainen,
HDLV,Invesco S&P 500 High Dividend Low Volatility UCITS ETF,IE00BWTN6Y99,133299388,"325,03 MCHF","0,30 %",Arvopaperi,Neljännesvuosittain
QVMP,Invesco S&P 500 QVM UCITS ETF,IE00BDZCKK11,189905988,"66,77 M$","0,35 %",Arvopaperi,Neljännesvuosittain
E500,Invesco S&P 500 UCITS ETF,IE00BRKWGL70,119800524,"2 624,22 M$","0,05 %",Johdannainen,
P500,Invesco S&P 500 UCITS ETF,IE00B3YCGJ38,256903778,"37 708,7 M$","0,05 %",Johdannainen,
SMLK,Invesco S&P SmallCap 600 UCITS ETF,IE00BH3YZ803,330142829,"345,82 M$","0,14 %",Johdannainen,
S0LR,Invesco Solar Energy UCITS ETF AccumUSD,IE00BM8QRZ79,347153667,"200,16 M$","0,69 %",Arvopaperi,
SC0P,Invesco STOXX Europe 600 Optimised Automobiles & Parts UCITS,IE00B5NLX835,29944222,"10,32 M€","0,20 %",Johdannainen,
SC0U,Invesco STOXX Europe 600 Optimised Banks UCITS ETF,IE00B5MTWD60,29944214,"568,39 M€","0,20 %",Johdannainen,
SC0W,Invesco STOXX Europe 600 Optimised Basic Resources UCITS ETF,IE00B5MTWY73,29944216,"31,05 M€","0,20 %",Johdannainen,
SC00,Invesco STOXX Europe 600 Optimised Chemicals UCITS ETF,IE00B5MTY077,29944225,"140,04 M€","0,20 %",Johdannainen,
SC01,Invesco STOXX Europe 600 Optimised Construction & Materials,IE00B5MTY309,29944226,"37,26 M€","0,20 %",Johdannainen,
SC02,Invesco STOXX Europe 600 Optimised Financial Services UCITS,IE00B5MTYK77,29944223,"6,36 M€","0,20 %",Johdannainen,
SC03,Invesco STOXX Europe 600 Optimised Food & Beverage UCITS ETF,IE00B5MTYL84,29944224,"16,74 M€","0,20 %",Johdannainen,
SC0T,Invesco STOXX Europe 600 Optimised Health Care UCITS ETF,IE00B5MJYY16,29944213,"5,5 M€","0,20 %",Johdannainen,
SC0S,Invesco STOXX Europe 600 Optimised Industrial Goods & Services,IE00B5MJYX09,29944212,"16,14 M€","0,20 %",Johdannainen,
SC0Y,Invesco STOXX Europe 600 Optimised Insurance UCITS ETF,IE00B5MTXJ97,29944218,"47,35 M€","0,20 %",Johdannainen,
