tunnus,nimi,isin,id_notation,aum,kulut,toteutus,osinko
WRLD,Rize Environmental Impact 100 UCITS ETF AccumUSD,IE00BLRPRR04,346035383,"137,77 M$","0,55 %",Arvopaperi,
RIZD,Rize Global Sustainable Infrastructure UCITS ETF,IE000QUCVEN9,431345288,"81,88 M$","0,45 %",Arvopaperi,Puolivuosittain
RIZF,Rize Sustainable Future of Food UCITS ETF,IE00BLRPQH31,305407033,"64,86 M$","0,45 %",Arvopaperi,
RIZJ,Rize USA Environmental Impact UCITS ETF AccumUSD,IE000PY7F8J9,431345289,"8,28 M$","0,46 %",Arvopaperi,
SLG OMXH25,Seligson & Co OMX Helsinki 25 Exchange Traded Fund Units,FI0008805627,4889788,"706,94 M€","0,15 %",Arvopaperi,
FCO2,SparkChange Physical Carbon EUA ETC,XS2353177293,382211669,"78,39 M€","0,89 %",Arvopaperi,
U8NJ,Sprott Junior Uranium Miners UCITS ETF AccumUSD,IE00075IVKF9,528425787,"75,79 M$","0,85 %",Arvopaperi,
U3O8,Sprott Uranium Miners UCITS ETF,IE0005YK6564,528425755,"411,42 M$","0,85 %",Arvopaperi,
SPYC,SSgA SPDR ETFs Europe II Plc - MSCI Eur. Consumer Staples ETF,IE00BKWQ0D84,119591401,"134,81 M€","0,18 %",Arvopaperi,
SPYR,SSgA SPDR ETFs Europe II Plc - MSCI Europe Consumer Discretion,IE00BKWQ0C77,119591400,"48,1 M€",,Arvopaperi,
SPYP,SSgA SPDR ETFs Europe II Plc - MSCI Europe Materials ETF,IE00BKWQ0L68,119591407,"100,01 M€","0,18 %",Arvopaperi,
ZPDH,SSgA SPDR ETFs Europe II Plc - S&P US Health Care Sel. Sec. UCITS ETF Accum Ptg USD,IE00BWBXM617,136756566,"467,88 M$","0,15 %",Arvopaperi,
SYBQ,SSgA SPDR ETFs EUROPE II PLC - State Street SPDR Bloomberg 0-5 Year Sterling Corporate Bond UCITS ETF GBP,IE00BCBJF711,98204474,"148,33 M£","0,20 %",Arvopaperi,Puolivuosittain
SYB4,SSgA SPDR ETFs Europe II PLC - State Street SPDR Bloomberg 3-5 Year Euro Government Bond UCITS ETF Shs EUR,IE00BS7K8821,119258982,"28,34 M€","0,15 %",Arvopaperi,Puolivuosittain
SPF1,SSgA SPDR ETFs Europe II PLC - State Street SPDR FTSE Global Convertible Bond UCITS ETF,IE00BDT6FP91,218537340,"1 146,19 M$","0,76 %",Arvopaperi,
ZPRC,SSgA SPDR ETFs Europe II PLC - State Street SPDR FTSE Global Convertible Bond UCITS ETF Shs USD,IE00BNH72088,114934226,"986,04 M$","0,70 %",Arvopaperi,Puolivuosittain
ZPR5,SSgA SPDR ETFs EUROPE II PLC - State Street SPDR ICE BofA 0-5 Year EM USD Government Bond UCITS ETF USD,IE00BP46NG52,117156187,"26,31 M$","0,42 %",Arvopaperi,Puolivuosittain
ZPRI,SSgA SPDR ETFs Europe II PLC - State Street SPDR Morningstar Multi-Asset Global Infrastructure UCITS ETF Ptg USD,IE00BQWJFQ70,130201928,,,Arvopaperi,Puolivuosittain
